PWSID,Approximate Address
TN0001666,Not Found
TN0000768,Not Found
TN0004819,Not Found
TN0000958,Not Found
TN0001276,Not Found
TN0004779,Not Found
TN0004256,Not Found
TN0001603,Not Found
TN0004829,Not Found
TN0003972,Not Found
TN0005136,Not Found
TN0005052,Not Found
TN0004778,Not Found
TN0005145,Not Found
TN0004306,Not Found
TN0004938,Not Found
TN0004769,Not Found
TN0000954,Not Found
TN0000919,Not Found
TN0004707,Not Found
TN0004913,Not Found
TN0002112,Not Found
TN0005171,Not Found
TN0002223,Not Found
TN0002997,Not Found
TN0004650,Not Found
TN0000057,Not Found
TN0000185,Not Found
TN0004904,Not Found
TN0000971,Not Found
TN0004999,Not Found
TN0008130,Not Found
TN0002617,Not Found
TN0004549,Not Found
TN0005147,Not Found
TN0004711,Not Found
TN0008274,Not Found
TN0004781,Not Found
TN0001585,Not Found
TN0005155,Not Found
TN0004932,Not Found
TN0004374,Not Found
TN0004964,Not Found
TN0000982,Not Found
TN0004312,Not Found
TN0000974,Not Found
TN0004985,Not Found
TN0005059,Not Found
TN0005060,Not Found
TN0004897,Not Found
TN0001476,Not Found
TN0001964,Not Found
TN0004806,Not Found
TN0008157,Not Found
TN0004507,Not Found
TN0004629,Not Found
TN0000529,Not Found
TN0004359,Not Found
TN0004442,Not Found
TN0004785,Not Found
TN0005161,Not Found
TN0000663,Not Found
TN0005093,Not Found
TN0004406,Not Found
TN0004862,Not Found
TN0004896,Not Found
TN0005012,Not Found
TN0005070,Not Found
TN0005081,Not Found
TN0001232,Not Found
TN0004842,Not Found
TN0000926,Not Found
TN0005119,Not Found
TN0004966,Not Found
TN0002990,Not Found
TN0004351,Not Found
TN0005156,Not Found
TN0004943,Not Found
TN0001073,Not Found
TN0003237,Not Found
TN0003298,Not Found
TN0005138,Not Found
TN0001408,Not Found
TN0000248,Not Found
TN0005137,Not Found
TN0004863,Not Found
TN0004867,Not Found
TN0008268,Not Found
TN0003088,Not Found
TN0000426,Not Found
TN0004805,Not Found
TN0004811,Not Found
TN0005075,Not Found
TN0004580,Not Found
TN0004880,Not Found
TN0001093,Not Found
TN0001284,Not Found
TN0002704,Not Found
TN0001269,Not Found
TN0005142,Not Found
TN0004719,Not Found
TN0004864,Not Found
TN0005168,Not Found
TN0005140,Not Found
TN0004876,Not Found
TN0005170,Not Found
TN0001424,Not Found
TN0004911,Not Found
TN0005002,Not Found
TN0000605,Not Found
TN0004804,Not Found
TN0005127,Not Found
TN0004991,Not Found
TN0005159,Not Found
TN0000168,Not Found
TN0004440,Not Found
TN0004720,Not Found
TN0004915,Not Found
TN0004348,Not Found
TN0000629,Not Found
TN0004568,Not Found
TN0003737,Not Found
TN0004587,Not Found
TN0000994,Not Found
TN0000527,Not Found
TN0000553,Not Found
TN0005018,Not Found
TN0000078,Not Found
TN0004737,Not Found
TN0003203,Not Found
TN0001260,Not Found
TN0001460,Not Found
TN0001327,Not Found
TN0004914,Not Found
TN0000298,Not Found
